item,category,status,notes
양파,쌀·채소·계란,product_detail_url_missing,개별 상세 URL 미확보
숙주,쌀·채소·계란,product_detail_url_missing,개별 상세 URL 미확보
깻잎,쌀·채소·계란,product_detail_url_missing,개별 상세 URL 미확보
상추,쌀·채소·계란,product_detail_url_missing,개별 상세 URL 미확보
일반 계란 추가 후보,쌀·채소·계란,additional_urls_needed,구운계란 10구 1건만 확보
랩,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
쓰레기봉투,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
세제,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
소독제,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
보관용기,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
소분팩,주방 소모품,product_detail_url_missing,개별 상세 URL 미확보
물엿,소스·조미료,product_detail_url_missing,개별 상세 URL 미확보
후추,소스·조미료,product_detail_url_missing,개별 상세 URL 미확보
고춧가루,소스·조미료,product_detail_url_missing,개별 상세 URL 미확보
간장,소스·조미료,recipe_page_only,"레시피 페이지 노출만 확인, 개별 상세 URL 필요"
