sourceDataset,year,areaName,industryMediumClassName,currencyUnitName,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption
area_industry_average_out,2017,서울,한식,(단위 :천원),17421,17421000,233,233000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,한식,(단위 :천원),23146,23146000,206,206000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,한식,(단위 :천원),21759,21759000,231,231000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,한식,(단위 :천원),25073,25073000,276,276000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,한식,(단위 :천원),16157,16157000,182,182000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,한식,(단위 :천원),17723,17723000,202,202000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,한식,(단위 :천원),26839,26839000,239,239000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,한식,(단위 :천원),15419,15419000,169,169000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,한식,(단위 :천원),13630,13630000,240,240000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,한식,(단위 :천원),16531,16531000,221,221000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,한식,(단위 :천원),17128,17128000,231,231000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,한식,(단위 :천원),19112,19112000,193,193000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,한식,(단위 :천원),17670,17670000,230,230000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,한식,(단위 :천원),18382,18382000,192,192000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,한식,(단위 :천원),16610,16610000,172,172000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,한식,(단위 :천원),11706,11706000,181,181000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,한식,(단위 :천원),4755,4755000,349,349000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,분식,(단위 :천원),7892,7892000,226,226000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,분식,(단위 :천원),11153,11153000,349,349000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대구,분식,(단위 :천원),7152,7152000,279,279000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,인천,분식,(단위 :천원),13024,13024000,487,487000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,광주,분식,(단위 :천원),6899,6899000,261,261000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,대전,분식,(단위 :천원),11212,11212000,355,355000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,울산,분식,(단위 :천원),11785,11785000,372,372000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경기,분식,(단위 :천원),7410,7410000,241,241000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,강원,분식,(단위 :천원),10691,10691000,400,400000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충북,분식,(단위 :천원),7272,7272000,226,226000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,충남,분식,(단위 :천원),8327,8327000,254,254000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전북,분식,(단위 :천원),7433,7433000,210,210000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,전남,분식,(단위 :천원),7437,7437000,200,200000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경북,분식,(단위 :천원),9925,9925000,342,342000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,경남,분식,(단위 :천원),7310,7310000,209,209000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,분식,(단위 :천원),11165,11165000,594,594000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,분식,(단위 :천원),5593,5593000,451,451000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,제주,아이스크림/빙수 ,(단위 :천원),21825,21825000,324,324000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,세종,아이스크림/빙수 ,(단위 :천원),31412,31412000,1661,1661000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,서울,커피,(단위 :천원),3871,3871000,101,101000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
area_industry_average_out,2017,부산,커피,(단위 :천원),6914,6914000,113,113000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
